Date/Time, Zone, Temperature A, Temperature B, Temperature C, Temperature D, Damper, Regime, Aeration Direction, Blower Speed, Biofilter Temp, Exhaust Temp, PFRP Time
05/26/2023 12:49:39, 2, 130.7, 145.5, 143.7, 0, 23, PFRP, 10, 70, 66.40001, 88.35516, 0
05/26/2023 13:49:39, 2, 128.3, 148.5, 138.3, 0, 23, PFRP, 10, 70, 65.5, 91.90961, 0
05/26/2023 14:49:44, 2, 125.8, 151.1, 132.5, 0, 23, PFRP, 10, 70, 65, 81.44825, 0
05/26/2023 15:49:44, 2, 132.7, 152.4, 128.3, 0, 23, PFRP, 10, 44.49, 65, 79.71827, 0
05/26/2023 16:49:47, 2, 133.7, 153.9, 127.9, 0, 23, PFRP, 10, 37.77, 65, 71.72658, 0
05/26/2023 17:49:54, 2, 134.2, 155, 127.7, 0, 23, PFRP, 10, 37.5, 64.8, 69.4894, 0
05/26/2023 18:49:56, 2, 134.9, 155.7, 127.7, 0, 23, PFRP, 10, 37.54, 64.59999, 69.29345, 0
05/26/2023 19:49:57, 2, 135.62, 156, 128.64, 0, 23, PFRP, 10, 37.54, 64.40001, 70.98991, 0
05/26/2023 20:50:00, 2, 136.5, 155.9, 131.1, 0, 23, PFRP, 10, 37.34, 64.3, 66.53323, 0
05/26/2023 21:50:04, 2, 137.72, 155.7, 134.98, 0, 23, PFRP, 10, 37.35, 63.9, 65.10551, 60
05/26/2023 22:50:09, 2, 138.8, 155.3, 139.7, 0, 23, PFRP, 10, 37.33, 63.7, 64.83434, 120
05/26/2023 23:50:07, 2, 140, 155, 144.1, 0, 23, PFRP, 10, 37.21, 63.6, 62.64892, 180
05/27/2023 00:50:07, 2, 141.1, 154.5, 146.7, 0, 23, PFRP, 10, 37.21, 63.2, 61.57346, 240
05/27/2023 01:50:11, 2, 142.3, 153.9, 149.2, 0, 23, PFRP, 10, 37.23, 63, 61.17633, 300
05/27/2023 02:50:11, 2, 143.4, 153.6, 150.9, 0, 23, PFRP, 10, 37.18, 62.7, 61.19558, 360
05/27/2023 03:50:14, 2, 144.4, 153.2, 152.4, 0, 23, PFRP, 10, 37.22, 62.3, 60.2853, 420
05/27/2023 04:50:21, 2, 145.38, 152.9, 153.4, 0, 23, PFRP, 10, 37.17, 62, 59.32285, 480
05/27/2023 05:50:25, 2, 146.4, 152.5, 154.3, 0, 23, PFRP, 10, 37.16, 61.6, 59.20791, 540
