Date/Time, Temperature, Damper 
12/08/2017 11:09:16, 43.5, 10
12/08/2017 13:10:31, 46.7, 10
12/08/2017 15:11:50, 69.2, 10
12/08/2017 17:13:11, 71.7, 10
12/08/2017 19:14:29, 73.7, 10
12/08/2017 21:15:43, 75.9, 10
12/08/2017 23:16:58, 78.2, 10
12/09/2017 01:18:14, 80.4, 10
12/09/2017 03:19:27, 82.7, 10
12/09/2017 05:20:46, 85, 10
12/09/2017 07:22:01, 87.5, 10
12/09/2017 09:23:15, 90.1, 10
12/09/2017 11:24:31, 92.7, 10
12/09/2017 13:25:46, 95.4, 10
12/09/2017 15:27:04, 98, 10
12/09/2017 17:28:20, 100.8, 10
12/09/2017 19:29:36, 103.5, 10
12/09/2017 21:30:52, 106.2, 10
12/10/2017 03:32:39, 114, 10
12/10/2017 09:34:31, 121, 10
12/10/2017 15:36:20, 126.9, 10
12/10/2017 21:38:11, 132, 15
12/11/2017 03:40:04, 134.2, 15
12/11/2017 09:41:48, 134.1, 15
12/11/2017 15:43:26, 133.3, 15
12/11/2017 21:45:03, 132, 15
12/12/2017 03:46:41, 130.3, 15
12/12/2017 09:48:14, 128.5, 10
12/12/2017 15:49:39, 126.3, 10
12/12/2017 21:51:25, 126, 10
12/13/2017 03:53:13, 126.1, 10
12/13/2017 09:55:03, 126.1, 10
12/13/2017 15:56:53, 128.6, 10
12/13/2017 21:58:43, 131.7, 10
12/14/2017 04:00:37, 135.1, 15
12/14/2017 10:04:29, 138.5, 15
12/14/2017 16:06:19, 140, 20
12/14/2017 22:08:12, 140.1, 20
12/15/2017 04:09:58, 140, 30
12/15/2017 10:11:55, 140.1, 30
12/15/2017 16:12:02, 140, 35
12/15/2017 22:12:04, 139.8, 35
12/16/2017 04:12:08, 140.1, 40
12/16/2017 10:12:19, 139.8, 40
12/16/2017 16:14:12, 140, 45
12/16/2017 22:16:01, 140, 45
12/17/2017 04:17:52, 139.8, 50
12/17/2017 10:19:42, 139.8, 60
12/17/2017 16:21:33, 139.8, 70
12/17/2017 22:23:27, 140, 80
12/18/2017 04:25:17, 139.8, 90
12/18/2017 10:27:00, 140, 95
12/18/2017 16:28:43, 140.2, 100
12/18/2017 22:30:23, 140, 100
12/19/2017 04:32:04, 139.7, 100
12/19/2017 10:33:46, 140.2, 100
12/19/2017 16:35:38, 140.1, 100
12/19/2017 22:35:39, 139.5, 100
12/20/2017 04:36:24, 140.2, 100
12/20/2017 10:36:40, 140.2, 100
12/20/2017 16:37:15, 138.1, 100
12/20/2017 22:37:27, 135.1, 95
12/21/2017 04:37:29, 131.6, 90
12/21/2017 10:37:30, 130.1, 80
12/21/2017 16:38:19, 129.9, 75
12/21/2017 22:38:54, 129.9, 70
12/22/2017 04:39:27, 129.9, 60
12/22/2017 10:39:53, 129.8, 50
12/22/2017 16:40:33, 130.1, 40
12/22/2017 22:41:17, 130.2, 30
12/23/2017 04:42:04, 130.1, 20
12/23/2017 10:42:36, 129.8, 10
12/23/2017 16:43:24, 129.8, 10
12/23/2017 22:44:09, 129.8, 10
12/24/2017 04:44:58, 129.9, 10
12/24/2017 10:45:49, 130.2, 10
12/24/2017 16:46:44, 130.1, 10
12/24/2017 22:47:36, 129.8, 10
12/25/2017 04:48:34, 129.9, 10
12/25/2017 10:49:27, 130.2, 10
12/25/2017 16:50:22, 130.2, 10
12/25/2017 22:51:13, 130.2, 10
12/26/2017 04:52:03, 130.3, 10
12/26/2017 10:52:35, 130.3, 10
12/26/2017 16:52:49, 130.3, 10
12/26/2017 22:53:03, 130.2, 10
12/27/2017 04:53:21, 129.9, 10
12/27/2017 10:53:36, 129.8, 10
12/27/2017 16:54:28, 129.7, 10
12/27/2017 22:55:19, 129.7, 10
12/28/2017 04:56:09, 130.1, 10
12/28/2017 10:56:26, 130.2, 10
12/28/2017 16:56:45, 129.9, 10
12/28/2017 22:57:34, 130.1, 10
12/29/2017 04:58:26, 130.1, 10
12/29/2017 10:58:37, 130.1, 10
12/29/2017 16:58:50, 130.1, 10
12/29/2017 22:59:38, 129.9, 10
12/30/2017 05:00:21, 129.9, 10
12/30/2017 11:00:48, 130.1, 10
12/30/2017 17:01:38, 130.1, 10
12/30/2017 23:02:32, 130.1, 10
12/31/2017 05:03:31, 129.9, 10
12/31/2017 11:04:17, 130.1, 10
12/31/2017 17:05:07, 129.9, 10
12/31/2017 23:05:54, 129.9, 10
01/01/2018 05:06:40, 129.9, 10
01/01/2018 11:07:27, 130.1, 10
01/01/2018 17:08:17, 130.1, 10
01/01/2018 23:09:06, 130.1, 10
01/02/2018 05:09:58, 129.9, 10
01/02/2018 11:10:16, 130.1, 10
01/02/2018 17:10:24, 129.9, 10
01/02/2018 23:10:24, 129.9, 10
01/03/2018 05:10:25, 129.9, 10
01/03/2018 11:10:42, 129.9, 10
01/03/2018 17:11:31, 129.9, 10
01/03/2018 23:12:13, 129.9, 10
01/04/2018 05:12:46, 129.9, 10
01/04/2018 11:13:45, 130.1, 10
01/04/2018 17:14:19, 130.1, 10
01/04/2018 23:14:52, 129.9, 10
01/05/2018 05:15:27, 129.9, 10
01/05/2018 11:17:15, 129.98, 10
01/05/2018 17:17:34, 129.9, 10
01/05/2018 23:17:55, 129.9, 10
01/06/2018 05:18:12, 130.1, 10
